#,partid,Description,qtystock,Identifier,qtyonorder,qtyreserved,supplier,manufacturer,manufactuerpart,notes,cost,costqty,datasheet,Package ID,Footprint,Format,ROHS,Storage,Supplier P/N,Qty at CM,Value on Hand,Value on Order
104,K020,Disconnect Shaft,0,,0,2,Platt,ABB Control,OXS6X180,"Operating Shaft, 6mm Square X 180mm For Use Only With Selector Handle",3.5,1,http://datasheet.octopart.com/OXS6X180-ABB-Control-datasheet-37468498.pdf,,,,,,,0,,
105,K030,"Emergency Stop, 1NO, 1NC",0,,0,3,Eoff,Idec,HW1B-V4F11-R,Switch Emergency Stop N.O./N.C. SPST/SPST Mushroom Button 10A 440VAC 220VDC 745.7VA Screw Panel Mount,28.35,1,http://datasheet.octopart.com/HW1B-V4F11-R-Idec-datasheet-37167031.pdf,,,,,,,0,,
106,K040,Contact Block NO,7,,0,5,Eoff,Idec,HW-F10,"General Accessories. Product Type Contact block, Brand IDEC. Contact block, normally open, type HW-F10. Rated 600V 10A.",4.89,1,http://datasheet.octopart.com/HW-F10-Idec-datasheet-20363.pdf,,,,,,,0,34.23,
107,K041,Contact Block NC,6,,0,0,Eoff,Idec,HW-F01,"General Accessories. Product Type Contact block, Brand IDEC. Contact block, normally closed, type HW-F01. Rated 600V ...",4.89,1,http://datasheet.octopart.com/HW-F01-Idec-datasheet-20363.pdf,,,,,,,0,29.34,
108,K045,LED HOLDER For Contact Blocks,0,,0,0,Eoff,Idec,HW-LH3,"Lead Holder, For Use W/ HW-CBL on all Ill PB's, One Req'd per Deck/Set of Contacts",0.3408,1,http://datasheet.octopart.com/HW-LH3-Idec-datasheet-8450967.pdf,,,,,,,0,,
109,K060,Round 22mm Green Dome LED 120VAC,5,,0,0,Eoff,Idec,HW1P-2FQD-G-120V-BULK50,HW PL Dome Green LED FV 120VAC,14.02,1,,,,,,,,0,70.1,
110,K061,Round 22mm Red Dome LED 120VAC,3,,0,0,Eoff,Idec,HW1P-2FQD-R-120V,HW PL Dome Red LED FV 120VAC,14.02,1,,,,,,,,0,42.06,
111,K066,Round 16mm Red Dome LED 120VAC,0,,0,0,Eoff,Idec,HA1P-18-R,HW PL Dome Red LED FV 120VAC,20,1,,,,,,,,0,,
112,K071,14mm prominent bright chrome bezel IP67 sealed RED 12V,1,,0,0,Allied,APEM,Q14P1CXXR110E,,7.365,1,http://datasheet.octopart.com/Q14P1CXXR110E-Apem-datasheet-9561826.pdf,,,,,,,0,7.365,
113,K080,Round 22mm Green Dome LED 24VDC,0,,0,7,Eoff,Idec,HW1P-2FQD-G-24V,"Pilot Light, Grn, 24V Direct, LED, Full Voltage, 22mm Mounting, LED, Round Dome Lens, Blk Nylon Bezel",13.83,1,http://datasheet.octopart.com/HW1P-2FQD-G-24V-Idec-datasheet-2344.pdf,,,,,,,0,,
114,K081,Round 22mm Red Dome LED 24VDC,2,,0,3,Eoff,Idec,HW1P-2FQD-R-24V,"Pilot Light, Red, 24V Direct, LED, Full Voltage, 22mm Mounting, LED, Round Dome Lens, Blk Nylon Bezel",13.83,1,http://datasheet.octopart.com/HW1P-2FQD-R-24V-Idec-datasheet-54592.pdf,,,,,,,0,27.66,
115,K090,Pilot Light Green 24VDC 16mm,0,,0,0,Eoff,Idec,AP6M122-G,"Pilot Light, Grn, 24VDC Direct, LED Full Voltage, 16mm Mounting, LED Flat Lens, 0.110"" Terminals",8.55,1,http://datasheet.octopart.com/AP6M122-G-Idec-datasheet-8482972.pdf,,,,,,,0,,
116,K091,Pilot Light Red 24VDC 16mm,0,,0,0,Eoff,Idec,AP6M122-R,"Pilot Light, Red, 24VDC Direct, LED Full Voltage, 16mm Mounting, LED Flat Lens, 0.110"" Terminals",6.905,1,http://datasheet.octopart.com/AP6M122-R-Idec-datasheet-9563968.pdf,,,,,,,0,,
117,K095,Switch 16mm Push Button Round Momentary LED 24V Green,0,,0,0,Eoff,Idec,AL6M-M24P-G,"Pushbutton, Mom, Grn, Ext, 24V Direc Full Voltage, 16mm Mounting, LED DPDT Output, Round Lens, IP65 Rated",14.5,1,http://datasheet.octopart.com/AL6M-M24P-G-Idec-datasheet-8450967.pdf,,,,,,,0,,
118,K096,Switch 16mm Push Button Round Momentary LED 24V Red,0,,0,0,Eoff,Idec,AL6M-M24P-R,"Pushbutton, Mom, Red, Ext, 24V Direc Full Voltage, 16mm Mounting, LED DPDT Output, Round Lens, IP65 Rated",14.5,1,http://datasheet.octopart.com/AL6M-M24P-G-Idec-datasheet-8450967.pdf,,,,,,,0,,
119,K100,Mallory Panel Mount Buzzer,0,,0,0,Mouser,Mallory Sonalert,SC628DPR,Audio 6VDC 28VDC 23mA 60dBA 1600Hz to 2200Hz Screw Panel Mount,29.97,1,http://datasheet.octopart.com/SC628DPR-Mallory-Sonalert-datasheet-8554689.pdf,,,,,,,0,,
120,K110,Mallory Volume Shutter,1,,0,0,Mouser,Mallory Sonalert,SCVC,Volume Control; 10 to 15 dB,0.8453,1,http://datasheet.octopart.com/SCVC-Mallory-Sonalert-datasheet-8515073.pdf,,97,,,,,0,0.8453,
121,K120,POTENTIOMETER 22m 5K OHM,0,,0,0,Automation Direct,Automation Direct,ECX2300-5K,POTENTIOMETER 22m 5K OHM,36.5,1,,,,,,,,0,,
122,K121,POTENTIOMETER 22m 10K OHM,0,,0,2,Automation Direct,Automation Direct,ECX2300-10K,POTENTIOMETER 22m 10K OHM,36.5,1,,,,,,,,0,,
123,K130,Switch Toggle ON None ON DPDT Bat Lever Quick Conn 15A 250VAC 559.27VA Panel Mount with Threads,0,,0,0,,Carling Technologies,2GL51-73,,4.44,1,http://datasheet.octopart.com/2GL51-73-Carling-datasheet-33575.pdf,,,,,,,0,,
124,K131,Switch Toggle ON OFF ON DPDT Bat Lever Quick Conn 15A 250VAC 559.27VA Panel Mount with Threads,0,,0,0,,Carling Technologies,2GM51-73,,4.36,1,http://datasheet.octopart.com/2GM51-73-Carling-datasheet-33575.pdf,,,,,,,0,,
125,K135,Switch Toggle ON OFF ON 3PDT Round Lever Quick Conn 25A 250VAC 30VDC Panel Mount with Threads,0,,0,0,,NKK Switches,S33F,,11.29,1,http://datasheet.octopart.com/S33F-NKK-Switches-datasheet-11554349.pdf,,,,,,,0,,
126,K140,"Pushbutton momentary, Black, blue LED, small",0,,0,0,,,,,5,1,,,,,,,,0,,
127,K141,"Pushbutton momentary, Silver finish, blue LED, medium",0,,0,0,,,,,8,1,,,,,,,,0,,
128,L001,Shop Labor,9936,,0,64,,,,42.5,0,1,,,,,,,,0,,
129,L002,Assembly Time,995,,0,0,,,,60,0,1,,,,,,,,0,,
130,L003,Controls / Programming Time,995,,0,0,,,,80,0,1,,,,,,,,0,,
131,L004,Consulting Time,1000,,0,0,,,,100,0,1,,,,,,,,0,,
132,L005,Engineering Time,1000,,0,10,,,,100,0,1,,,,,,,,0,,
133,LIPO-1600,1600mAh LiPo battery,1,,0,0,eBay,China,,,12,1,,,,,,,,0,12,
134,LIPO-3000-FLAT,3000mAh LiPo Battery,1,,0,0,Amazon,Ofeeley,,,16.99,1,,,,,,,,0,16.99,
135,LIPO-600,600mAh LiPo battery,3,,0,0,eBay,China,,,5,1,,,,,,,,0,15,
